127.0.0.1 - - [08/Aug/2023:09:50:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:37:41 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:37:45 +0530] "GET /candidateEvaluationApplication/candEvalApp/feedback/feedback-list HTTP/1.1" 200 16459
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:37:53 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:37:53 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/css/bootstrap.min.css.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:38:08 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:38:09 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/css/bootstrap.min.css.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:38:09 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:38:09 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/css/bootstrap.min.css.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:38:09 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/css/bootstrap.min.css.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:38:09 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:38:09 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/css/bootstrap.min.css.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:38:10 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/5 HTTP/1.1" 200 11932
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:38:10 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:38:10 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/css/bootstrap.min.css.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:38:42 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/5 HTTP/1.1" 200 11938
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:38:43 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/5 HTTP/1.1" 200 11938
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:40:16 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/5 HTTP/1.1" 200 11973
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:41:03 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/5 HTTP/1.1" 200 12078
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:41:27 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:41:32 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-form HTTP/1.1" 200 11319
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:42:20 +0530] "POST /candidateEvaluationApplication/candEvalApp/candidate/candidate-save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:42:20 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 65289
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:42:26 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-update-form/29 HTTP/1.1" 200 11575
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:43:03 +0530] "POST /candidateEvaluationApplication/candEvalApp/candidate/candidate-update-form/29/update-save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:43:03 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 65289
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:43:18 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/28 HTTP/1.1" 200 11917
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:43:21 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 65289
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:43:25 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/8 HTTP/1.1" 200 12109
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:43:27 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 65289
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:43:43 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-delete/8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:43:43 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:44:28 +0530] "POST /candidateEvaluationApplication/candEvalApp/candidate/candidate-search HTTP/1.1" 200 10178
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:44:31 +0530] "POST /candidateEvaluationApplication/candEvalApp/candidate/candidate-search HTTP/1.1" 200 10178
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:44:35 +0530] "POST /candidateEvaluationApplication/candEvalApp/candidate/candidate-search HTTP/1.1" 200 12570
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:44:39 +0530] "POST /candidateEvaluationApplication/candEvalApp/candidate/candidate-search HTTP/1.1" 200 10178
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:44:42 +0530] "POST /candidateEvaluationApplication/candEvalApp/candidate/candidate-search HTTP/1.1" 200 10178
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:44:44 +0530] "POST /candidateEvaluationApplication/candEvalApp/candidate/candidate-search HTTP/1.1" 200 10178
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:44:46 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:44:53 +0530] "POST /candidateEvaluationApplication/candEvalApp/candidate/candidate-search HTTP/1.1" 200 22160
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:45:01 +0530] "POST /candidateEvaluationApplication/candEvalApp/candidate/candidate-search HTTP/1.1" 200 34143
